Name,Position,Department
Richard Strier,Has Tenure,Not Listed
Jeanne C. Marsh,Has Tenure,Not Listed
Michael Silverstein,Has Tenure,Anthropology
Dipesh Chakrabarty,Has Tenure,South Asian Languages and Literatures
Don Q. Lamb,Has Tenure,Physics
Melvyn Shochet,Has Tenure,Physics
Sidney R. Nagel,Has Tenure,Physics
Martha C. Nussbaum,Has Tenure,Philosophy
Robert Rosner,Has Tenure,Physics
Paul Wiegmann,Has Tenure,Physics
Wu Hung,Has Tenure,Art History
Maria Woltjen,Has Tenure,Young Center for Immigrant Children's Rights
Pablo Maurette,Non-Tenure,Humanities
Kareem Rabie,Non-Tenure,Not Listed
David Egan,Non-Tenure,Humanities
Tatsiana Zhurauliova,Non-Tenure,Society of Fellows
Nadine Chan,Non-Tenure,Society of Fellows
Jessica H. Darrow,Non-Tenure,Social Service Administration
Stanley McCracken,Non-Tenure,Social Service Administration
Darcy Lear,Non-Tenure,Romance Languages and Literatures
Amaia Gabantxo,Non-Tenure,Creative Writing
Beth-Anne Jacob,Non-Tenure,Social Service Administration
Hilary Strang,Non-Tenure,English
Ben Laurence,Non-Tenure,Philosophy
Chrysanthi Koutsiviti,Non-Tenure,Linguistics
Kinga Kosmala,Non-Tenure,Not Listed
Mickle Maher,Non-Tenure,Creative Writing
Garin Cycholl,Non-Tenure,Creative Writing
Rachel DeWoskin,Non-Tenure,Creative Writing
Ariana Nash,Non-Tenure,Creative Writing
Marie Berg,Non-Tenure,French
Celine Bordeaux,Non-Tenure,Romance Languages and Literatures
Alba Girons,Non-Tenure,Romance Languages and Literatures
Irena Cajkova,Non-Tenure,Romance Languages and Literatures
Lidwina M. van den Hout-Huijben,Non-Tenure,Romance Languages and Literatures
Izas Indacoechea,Non-Tenure,Romance Languages and Literatures
Rebecca Petrush,Non-Tenure,French
Brian Booker,Non-Tenure,Creative Writing
Sylvie Goutas,Non-Tenure,Romance Languages and Literatures
Jeannette S. Messer,Non-Tenure,Medicine
Xiaorong Jajah Wu,Non-Tenure,Law
Robert Weinstock,Non-Tenure,Law
Yibi Huang,Non-Tenure,Statistics
Dorothy Shapiro,Non-Tenure,Law
Deborah Hagman Shannon,Non-Tenure,Social Service Administration
Mark Philip Bradley,Has Tenure,History
Josef Stern,Has Tenure,Philosophy
Adrian Johns,Has Tenure,History
Martha Feldman,Has Tenure,Music
Gary Herrigel,Has Tenure,Not Listed
W. Clark Gilpin,Has Tenure,Divinity
Mauricio Tenorio,Has Tenure,Not Listed
Leora Auslander,Has Tenure,History
Cornell H. Fleischer,Has Tenure,Near East Languages and Civilizations
Kenneth Pomeranz,Has Tenure,History
Kathleen Morrison,Has Tenure,Anthropology
Maud Ellmann,Has Tenure,English
Cathy Cohen,Has Tenure,Political Science
Linda Zerilli,Has Tenure,Political Science
James Chandler,Has Tenure,English
Jan Goldstein,Has Tenure,History
Joshua Scodel,Has Tenure,English
Lisa Wedeen,Has Tenure,Not Listed
George Wu,Has Tenure,Business
Jason Merchant,Has Tenure,Linguistics
Steven Collins,Has Tenure,South Asian Languages and Literatures
Thomas C. Holt,Has Tenure,History
Lucia B. Rothman-Denes,Has Tenure,Biology
William C. Wimsatt,Has Tenure,Not Listed
Deborah Gorman-Smith,Has Tenure,Social Service Administration
David T. Rubin,Has Tenure,Medicine
Elisabeth Clemens,Has Tenure,Sociology
Christopher Kennedy,Has Tenure,Linguistics
Aziz Huq,Has Tenure,Law
Emily Buss,Has Tenure,Law
John Lucy,Has Tenure,Comparative Human Development
Brian Leiter,Has Tenure,Law
Jonathan Masur,Has Tenure,Law
Donald G. York,Has Tenure,Physics
Denis Hirschfeldt,Has Tenure,Mathematics
Aaron Turkewitz,Has Tenure,Biology
Elaine Hadley,Has Tenure,English
Douglas Bishop,Has Tenure,Medicine
Stephan Palmie,Has Tenure,Anthropology
Trevor Price,Has Tenure,Biology
Yali Amit,Has Tenure,Statistics
Emilio Kouri,Has Tenure,History
William Mazzarella,Has Tenure,Anthropology
John P. McCormick,Has Tenure,Political Science
Robert L. Kendrick,Has Tenure,Music
Jonathan Levy,Has Tenure,History
Hakan Karateke,Has Tenure,Near East Languages and Civilizations
Jessica Stockholder ,Has Tenure,Not Listed
Lauren Berlant,Has Tenure,English
Brodwyn Fischer,Has Tenure,History
Clifton Ragsdale,Has Tenure,Biology
Joseph Masco,Has Tenure,Anthropology
Daniel Brudney,Has Tenure,Philosophy
Willemien Otten,Has Tenure,Divinity
Moishe Postone,Has Tenure,History
Michael Bourdaghs,Has Tenure,East Asian Languages and Civilizations
Bozena Shallcross,Has Tenure,Slavic
John Wilkinson,Has Tenure,English
Anna Di Rienzo,Has Tenure,Human Genetics
Benjamin Glick,Has Tenure,Biology
Curtis McMillen,Has Tenure,Social Service Administration
Marcelo Nobrega,Has Tenure,Human Genetics
Elizabeth Grove,Has Tenure,Biology
Michael Dietler,Has Tenure,Anthropology
Robert Chaskin,Has Tenure,Social Service Administration
Boaz Keysar,Has Tenure,Psychology
Ulrike Stark,Has Tenure,South Asian Languages and Literatures
Joseph Thornton,Has Tenure,Human Genetics
Anastasia Giannakidou,Has Tenure,Linguistics
Joel Snyder,Has Tenure,Art History
John E. Woods,Has Tenure,History
Soma Das,Has Tenure,Human Genetics
Armando Maggi,Has Tenure,Romance Languages and Literatures
Mark Courtney,Has Tenure,Social Service Administration
Tara Zahra,Has Tenure,History
Fred M. Donner,Has Tenure,Near East Languages and Civilizations
Charles Payne,Has Tenure,Social Service Administration
Madhav Nori,Has Tenure,Mathematics
Mindy A. Schwartz,Has Tenure,Medicine
Samuel Refetoff,Has Tenure,Medicine
Daisy Delogu,Has Tenure,Romance Languages and Literatures
Alan Yu,Has Tenure,Linguistics
Justin Steinberg,Has Tenure,Romance Languages and Literatures
John Hart,Has Tenure,Medicine
Scott J. Hunter,Has Tenure,Psychiatry
Colleen M. Grogan,Has Tenure,Social Service Administration
Rachel Cohen,Has Tenure,Creative Writing
Michael Kremer,Has Tenure,Philosophy
Judy Hoffman,Has Tenure,Cinema and Media Studies
John Reppy,Has Tenure,Computer Science
Theo van den Hout,Has Tenure,Near East Languages and Civilizations
Orit Bashkin,Has Tenure,Near East Languages and Civilizations
Callum F. Ross,Has Tenure,Biology
Ira Hanan,Has Tenure,Medicine
Andreas Glaeser,Has Tenure,Sociology
Karen Kim,Has Tenure,Medicine
Russell H. Tuttle,Has Tenure,Anthropology
Nicolas Brunel,Has Tenure,Statistics
James Ketelaar,Has Tenure,History
Paolo Privitera,Has Tenure,Physics
Margaret Gardel,Has Tenure,Physics
Kwang-Je Kim,Has Tenure,Physics
Young-Kee Kim,Has Tenure,Physics
Edward Blucher,Has Tenure,Physics
Kathryn Levin,Has Tenure,Physics
Juan I. Collar,Has Tenure,Physics
Mary Silber,Has Tenure,Statistics
Emil J. Martinec,Has Tenure,Physics
Melody A. Swartz,Has Tenure,Institute for Molecular Engineering
Frances Ferguson,Has Tenure,English
Fausto Cattaneo,Has Tenure,Physics
Carlos E. Wagner,Has Tenure,Physics
Matthew Stephens,Has Tenure,Statistics
Arieh Konigl,Has Tenure,Physics
Darby English,Has Tenure,Art History
Jeffrey Harvey,Has Tenure,Physics
Michael LaBarbera,Has Tenure,Biology
C M Naim,Has Tenure,South Asian Languages and Literatures
David E. Orlinsky,Has Tenure,Comparative Human Development
Michael Geyer,Has Tenure,Not Listed
William Tait,Has Tenure,Philosophy
Matam P. Murthy,Has Tenure,Mathematics
Nancy D. Munn,Has Tenure,Anthropology
Ralph A. Austen,Has Tenure,History
Howard Stein,Has Tenure,Philosophy
Melvin Rothenberg,Has Tenure,Mathematics
Judith Farquhar,Has Tenure,Anthropology
Barbara S. Kirschner,Has Tenure,Medicine
James Fernandez,Has Tenure,Anthropology
Manuela Carneiro da Cunha,Has Tenure,Anthropology
Jonathan L. Rosner,Has Tenure,Physics
Patrick Palmer,Has Tenure,Physics
S. C. Wright,Has Tenure,Physics
Eugene Parker,Has Tenure,Physics
Eve L. Ewing,Non-Tenure,Social Service Administration
Susan R. Gzesh,Non-Tenure,Human Rights
Chad Broughton,Non-Tenure,Public Policy
Elena Bashir,Non-Tenure,South Asian Languages and Literatures
Jason Grunebaum,Non-Tenure,South Asian Languages and Literatures
Ana Lima,Non-Tenure,Romance Languages and Literatures
Janet Sedlar,Non-Tenure,Not Listed
William Borden,Non-Tenure,Social Service Administration
Borja Sotomayor,Non-Tenure,Computer Science
Veronica Vegna,Non-Tenure,Romance Languages and Literatures
Claude Grangier,Non-Tenure,French
Michelle Falkoff,Non-Tenure,Creative Writing
Augustus Rose,Non-Tenure,Creative Writing
E. Annamalai,Has Tenure,South Asian Languages and Literatures
Ja_ Elsner,Has Tenure,Divinity
